INFO  - 2017-09-02 20:27:50.377; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-09-02 20:27:50.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-09-02 20:27:50.378; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.419; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.419; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-09-02 20:27:50.420; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-09-02 20:27:50.510; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-09-02 20:27:50.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-09-02 20:27:50.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-09-02 20:27:50.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.512; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.512; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2017-09-02 20:27:50.512; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-09-02 20:27:50.513; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-09-02 20:27:50.513; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
